Transaction_ID,Date,Year,Quarter,Month,Project_ID,Project_Name,Country,Location,Branch_or_Base,Donor_ID,Donor_Name,Grant_ID,Budget_Line_ID,Budget_Category,Budget_Line,Approved_Budget,Revised_Budget,Actual_Expenditure,Commitment,Forecast_Expenditure,Currency,Activity,Sector,Modality,Beneficiaries_Planned,Beneficiaries_Reached,Women,Men,Girls,Boys,Documentation_Status,Procurement_Status,Reporting_Status,Audit_Risk_Level,Compliance_Flag,Comments,Payment_Cycle,Transfer_Value,Households_Reached,Total_Cash_Transferred,PDM_Status,Distribution_Branch,Transfer_Modality,Donor_Deadline_Risk
"TXN-SYN-0012","2024-12-13","2024","Q4","December","P006","Syria Health Mission Support","Syria","Damascus","Damascus Mission Office","D005","USAID","G-USAI-P006-2024","BL006","WASH Infrastructure","Water point rehabilitation","25048","25048","7514","3757","16281","USD","Health service support","Health","Support","348","244","83","66","51","44","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Damascus Mission Office","N/A","Low"
"TXN-SYN-0013","2024-01-16","2024","Q1","January","P001","Ukraine Health+ Response","Ukraine","Kyiv","Kyiv Base","D006","AECID","G-AECI-P001-2024","BL007","Health Services","Primary health service support","26427","26691","8274","801","14680","EUR","Health service support","Health","In-kind","367","261","89","70","55","47","Partial","Complete","On time","Low","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Kyiv Base","N/A","Low"
"TXN-SYN-0014","2024-02-19","2024","Q1","February","P002","Ukraine Winter CVA","Ukraine","Lviv","Lviv Branch","D007","EU Delegation","G-EUDE-P002-2024","BL008","Logistics & Transport","Vehicle rental and fuel","27806","28362","9076","1134","16450","EUR","Cash assistance payment","CVA","Cash","386","278","95","75","58","50","Missing","In progress","On time","High","Review","Synthetic anonymised portfolio record","Cycle 3","170","60","10200","Pending","Lviv Branch","Prepaid card","High"
"TXN-SYN-0015","2024-03-22","2024","Q1","March","P003","Poland Refugee CVA","Poland","Warsaw","Warsaw Branch","D008","Red Cross Movement","G-REDC-P003-2024","BL009","Training & Capacity Building","Branch and partner training","29185","30061","9920","1503","18337","CHF","Cash assistance payment","CVA","Cash","405","296","101","80","62","53","Complete","Gap identified","Late","High","Review","Synthetic anonymised portfolio record","Cycle 4","185","64","11840","Completed","Warsaw Branch","Mobile money","High"
"TXN-SYN-0016","2024-04-01","2024","Q2","April","P004","Sudan Food Security & WASH","Sudan","Port Sudan","Port Sudan Base","D009","Private Foundation","G-PRIV-P004-2024","BL010","Monitoring & Evaluation","PDM and field monitoring","30564","31787","10808","1907","20344","USD","WASH service delivery","WASH","Service delivery","424","314","107","85","66","56","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Port Sudan Base","N/A","Low"
"TXN-SYN-0017","2024-05-04","2024","Q2","May","P005","Venezuela-Colombia Multi-Donor Response","Venezuela/Colombia","Bogota","Bogota Office","D010","Own Funds","G-OWNF-P005-2024","BL011","Administration","Office running costs","31943","33540","11739","2348","16770","EUR","Programme operations","Multi-sector","Service delivery","0","0","0","0","0","0","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Bogota Office","N/A","Low"
"TXN-SYN-0018","2024-06-07","2024","Q2","June","P006","Syria Health Mission Support","Syria","Damascus","Damascus Mission Office","D001","ECHO","G-ECHO-P006-2024","BL012","Audit & Compliance","External audit and compliance checks","33322","32322","11636","2586","17131","EUR","Health service support","Health","Support","462","351","119","95","74","63","Partial","In progress","On time","Medium","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Damascus Mission Office","N/A","Medium"
"TXN-SYN-0019","2024-07-10","2024","Q3","July","P001","Ukraine Health+ Response","Ukraine","Kyiv","Kyiv Base","D002","BMZ","G-BMZ-P001-2024","BL014","Indirect Costs","Indirect cost recovery","34701","34007","12583","3061","19045","EUR","Health service support","Health","In-kind","481","370","126","100","78","66","Missing","Gap identified","Late","High","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Kyiv Base","N/A","High"
"TXN-SYN-0020","2024-08-13","2024","Q3","August","P002","Ukraine Winter CVA","Ukraine","Lviv","Lviv Branch","D003","GFFO","G-GFFO-P002-2024","BL001","Human Resources","National staff salaries","36080","35719","13573","3572","21074","EUR","Cash assistance payment","CVA","Cash","500","390","133","105","82","70","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","Cycle 1","140","85","11900","Pending","Lviv Branch","Prepaid card","Low"
"TXN-SYN-0021","2024-09-16","2024","Q3","September","P003","Poland Refugee CVA","Poland","Warsaw","Warsaw Branch","D004","UNICEF","G-UNIC-P003-2024","BL003","Programme Supplies","Medical and programme supplies","37459","37459","14609","4120","23224","USD","Cash assistance payment","CVA","Cash","519","410","139","111","86","74","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","Cycle 2","155","89","13795","Completed","Warsaw Branch","Mobile money","Low"
"TXN-SYN-0022","2024-10-19","2024","Q4","October","P004","Sudan Food Security & WASH","Sudan","Port Sudan","Port Sudan Base","D005","USAID","G-USAI-P004-2024","BL004","CVA Transfers","Unconditional cash transfers","38838","39226","15690","4707","25496","USD","Cash assistance payment","WASH","Service delivery","538","430","146","116","90","78","Complete","In progress","On time","Medium","Review","Synthetic anonymised portfolio record","Cycle 3","170","93","15810","In progress","Port Sudan Base","Prepaid card","Medium"
"TXN-SYN-0023","2024-11-22","2024","Q4","November","P005","Venezuela-Colombia Multi-Donor Response","Venezuela/Colombia","Bogota","Bogota Office","D006","AECID","G-AECI-P005-2024","BL005","CVA Transfers","Winter cash top-up","40217","41021","16819","5333","27895","EUR","Cash assistance payment","Multi-sector","Service delivery","0","0","0","0","0","0","Partial","Gap identified","Late","High","Review","Synthetic anonymised portfolio record","Cycle 4","185","0","0","Pending","Bogota Office","Mobile money","High"
"TXN-SYN-0024","2024-12-01","2024","Q4","December","P006","Syria Health Mission Support","Syria","Damascus","Damascus Mission Office","D007","EU Delegation","G-EUDE-P006-2024","BL006","WASH Infrastructure","Water point rehabilitation","41596","42844","17994","5998","30419","EUR","Health service support","Health","Support","576","472","160","127","99","86","Missing","Complete","On time","High","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Damascus Mission Office","N/A","High"
"TXN-SYN-0025","2024-01-04","2024","Q1","January","P001","Ukraine Health+ Response","Ukraine","Kyiv","Kyiv Base","D008","Red Cross Movement","G-REDC-P001-2024","BL007","Health Services","Primary health service support","42975","44694","19218","6704","33073","CHF","Health service support","Health","In-kind","595","494","168","133","104","89","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Kyiv Base","N/A","Low"
"TXN-SYN-0026","2024-02-07","2024","Q1","February","P002","Ukraine Winter CVA","Ukraine","Lviv","Lviv Branch","D009","Private Foundation","G-PRIV-P002-2024","BL008","Logistics & Transport","Vehicle rental and fuel","44354","46572","20492","1397","29806","USD","Cash assistance payment","CVA","Cash","614","516","175","139","108","94","Complete","In progress","On time","Medium","Review","Synthetic anonymised portfolio record","Cycle 3","110","112","12320","Pending","Lviv Branch","Prepaid card","Medium"
"TXN-SYN-0027","2024-03-10","2024","Q1","March","P003","Poland Refugee CVA","Poland","Warsaw","Warsaw Branch","D010","Own Funds","G-OWNF-P003-2024","BL009","Training & Capacity Building","Branch and partner training","45733","44361","19962","1774","29721","EUR","Cash assistance payment","CVA","Cash","633","538","183","145","113","97","Complete","Gap identified","Late","High","Review","Synthetic anonymised portfolio record","Cycle 4","125","117","14625","Completed","Warsaw Branch","Mobile money","High"
"TXN-SYN-0028","2024-04-13","2024","Q2","April","P004","Sudan Food Security & WASH","Sudan","Port Sudan","Port Sudan Base","D001","ECHO","G-ECHO-P004-2024","BL010","Monitoring & Evaluation","PDM and field monitoring","47112","46170","21238","2309","32319","EUR","WASH service delivery","WASH","Service delivery","652","561","191","151","118","101","Partial","Complete","On time","Low","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Port Sudan Base","N/A","Low"
"TXN-SYN-0029","2024-05-16","2024","Q2","May","P005","Venezuela-Colombia Multi-Donor Response","Venezuela/Colombia","Bogota","Bogota Office","D002","BMZ","G-BMZ-P005-2024","BL011","Administration","Office running costs","48491","48006","22563","2880","35044","EUR","Programme operations","Multi-sector","Service delivery","0","0","0","0","0","0","Missing","Complete","On time","High","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Bogota Office","N/A","High"
"TXN-SYN-0030","2024-06-19","2024","Q2","June","P006","Syria Health Mission Support","Syria","Damascus","Damascus Mission Office","D003","GFFO","G-GFFO-P006-2024","BL012","Audit & Compliance","External audit and compliance checks","49870","49870","23938","3491","37902","EUR","Health service support","Health","Support","690","607","206","164","127","110","Complete","In progress","On time","Medium","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Damascus Mission Office","N/A","Medium"
"TXN-SYN-0031","2024-07-22","2024","Q3","July","P001","Ukraine Health+ Response","Ukraine","Kyiv","Kyiv Base","D004","UNICEF","G-UNIC-P001-2024","BL014","Indirect Costs","Indirect cost recovery","51249","51761","25363","4141","40891","USD","Health service support","Health","In-kind","709","631","215","170","133","113","Complete","Gap identified","Late","High","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Kyiv Base","N/A","High"
"TXN-SYN-0032","2024-08-01","2024","Q3","August","P002","Ukraine Winter CVA","Ukraine","Lviv","Lviv Branch","D005","USAID","G-USAI-P002-2024","BL001","Human Resources","National staff salaries","52628","53681","26841","4831","44019","USD","Cash assistance payment","CVA","Cash","728","655","223","177","138","117","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","Cycle 1","80","142","11360","Pending","Lviv Branch","Prepaid card","Low"
"TXN-SYN-0033","2024-09-04","2024","Q3","September","P003","Poland Refugee CVA","Poland","Warsaw","Warsaw Branch","D006","AECID","G-AECI-P003-2024","BL003","Programme Supplies","Medical and programme supplies","54007","55627","28370","5563","47283","EUR","Cash assistance payment","CVA","Cash","747","680","231","184","143","122","Partial","Complete","On time","Low","Review","Synthetic anonymised portfolio record","Cycle 2","95","148","14060","Completed","Warsaw Branch","Mobile money","Low"
"TXN-SYN-0034","2024-10-07","2024","Q4","October","P004","Sudan Food Security & WASH","Sudan","Port Sudan","Port Sudan Base","D007","EU Delegation","G-EUDE-P004-2024","BL004","CVA Transfers","Unconditional cash transfers","55386","57601","29953","6336","40897","EUR","Cash assistance payment","WASH","Service delivery","766","705","240","190","148","127","Missing","In progress","On time","High","Review","Synthetic anonymised portfolio record","Cycle 3","110","153","16830","In progress","Port Sudan Base","Prepaid card","High"
"TXN-SYN-0035","2024-11-10","2024","Q4","November","P005","Venezuela-Colombia Multi-Donor Response","Venezuela/Colombia","Bogota","Bogota Office","D008","Red Cross Movement","G-REDC-P005-2024","BL005","CVA Transfers","Winter cash top-up","56765","59603","31590","7152","44106","CHF","Cash assistance payment","Multi-sector","Service delivery","0","0","0","0","0","0","Complete","Gap identified","Late","High","Review","Synthetic anonymised portfolio record","Cycle 4","125","0","0","Pending","Bogota Office","Mobile money","High"
"TXN-SYN-0036","2024-12-13","2024","Q4","December","P006","Syria Health Mission Support","Syria","Damascus","Damascus Mission Office","D009","Private Foundation","G-PRIV-P006-2024","BL006","WASH Infrastructure","Water point rehabilitation","58144","56400","30456","7332","43428","USD","Health service support","Health","Support","804","756","257","204","159","136","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Damascus Mission Office","N/A","Low"
"TXN-SYN-0037","2024-01-16","2024","Q1","January","P001","Ukraine Health+ Response","Ukraine","Kyiv","Kyiv Base","D010","Own Funds","G-OWNF-P001-2024","BL007","Health Services","Primary health service support","59523","58333","32083","8167","46667","EUR","Health service support","Health","In-kind","823","782","266","211","164","141","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Kyiv Base","N/A","Low"
"TXN-SYN-0038","2024-02-19","2024","Q1","February","P002","Ukraine Winter CVA","Ukraine","Lviv","Lviv Branch","D001","ECHO","G-ECHO-P002-2024","BL008","Logistics & Transport","Vehicle rental and fuel","60902","60293","33764","9044","50043","EUR","Cash assistance payment","CVA","Cash","842","488","166","132","102","88","Partial","In progress","On time","Medium","Review","Synthetic anonymised portfolio record","Cycle 3","170","106","18020","Pending","Lviv Branch","Prepaid card","Medium"
"TXN-SYN-0039","2024-03-22","2024","Q1","March","P003","Poland Refugee CVA","Poland","Warsaw","Warsaw Branch","D002","BMZ","G-BMZ-P003-2024","BL009","Training & Capacity Building","Branch and partner training","62281","62281","35500","1868","45465","EUR","Cash assistance payment","CVA","Cash","861","508","173","137","107","91","Missing","Gap identified","Late","High","Review","Synthetic anonymised portfolio record","Cycle 4","185","110","20350","Completed","Warsaw Branch","Mobile money","High"
"TXN-SYN-0040","2024-04-01","2024","Q2","April","P004","Sudan Food Security & WASH","Sudan","Port Sudan","Port Sudan Base","D003","GFFO","G-GFFO-P004-2024","BL010","Monitoring & Evaluation","PDM and field monitoring","63660","64297","37292","2572","48866","EUR","WASH service delivery","WASH","Service delivery","880","528","180","143","111","94","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Port Sudan Base","N/A","Low"
"TXN-SYN-0041","2024-05-04","2024","Q2","May","P005","Venezuela-Colombia Multi-Donor Response","Venezuela/Colombia","Bogota","Bogota Office","D004","UNICEF","G-UNIC-P005-2024","BL011","Administration","Office running costs","65039","66340","39141","3317","52409","USD","Programme operations","Multi-sector","Service delivery","0","0","0","0","0","0","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Bogota Office","N/A","Low"
"TXN-SYN-0042","2024-06-07","2024","Q2","June","P006","Syria Health Mission Support","Syria","Damascus","Damascus Mission Office","D005","USAID","G-USAI-P006-2024","BL012","Audit & Compliance","External audit and compliance checks","66418","68411","41047","4105","56098","USD","Health service support","Health","Support","918","569","193","154","119","103","Complete","In progress","On time","Medium","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Damascus Mission Office","N/A","Medium"
"TXN-SYN-0043","2024-07-10","2024","Q3","July","P001","Ukraine Health+ Response","Ukraine","Kyiv","Kyiv Base","D006","AECID","G-AECI-P001-2024","BL014","Indirect Costs","Indirect cost recovery","67797","70509","43010","4936","59933","EUR","Health service support","Health","In-kind","937","590","201","159","124","106","Partial","Gap identified","Late","High","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Kyiv Base","N/A","High"
"TXN-SYN-0044","2024-08-13","2024","Q3","August","P002","Ukraine Winter CVA","Ukraine","Lviv","Lviv Branch","D007","EU Delegation","G-EUDE-P002-2024","BL001","Human Resources","National staff salaries","69176","72635","45034","5811","63919","EUR","Cash assistance payment","CVA","Cash","956","612","208","165","129","110","Missing","Complete","On time","High","Review","Synthetic anonymised portfolio record","Cycle 1","140","133","18620","Pending","Lviv Branch","Prepaid card","High"
"TXN-SYN-0045","2024-09-16","2024","Q3","September","P003","Poland Refugee CVA","Poland","Warsaw","Warsaw Branch","D008","Red Cross Movement","G-REDC-P003-2024","BL003","Programme Supplies","Medical and programme supplies","70555","68438","43116","6159","62278","CHF","Cash assistance payment","CVA","Cash","975","634","216","171","133","114","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","Cycle 2","155","138","21390","Completed","Warsaw Branch","Mobile money","Low"
"TXN-SYN-0046","2024-10-19","2024","Q4","October","P004","Sudan Food Security & WASH","Sudan","Port Sudan","Port Sudan Base","D009","Private Foundation","G-PRIV-P004-2024","BL004","CVA Transfers","Unconditional cash transfers","71934","70495","45117","7050","66266","USD","Cash assistance payment","WASH","Service delivery","994","656","223","177","138","118","Complete","In progress","On time","Medium","Review","Synthetic anonymised portfolio record","Cycle 3","170","143","24310","In progress","Port Sudan Base","Prepaid card","Medium"
"TXN-SYN-0047","2024-11-22","2024","Q4","November","P005","Venezuela-Colombia Multi-Donor Response","Venezuela/Colombia","Bogota","Bogota Office","D010","Own Funds","G-OWNF-P005-2024","BL005","CVA Transfers","Winter cash top-up","73313","72580","47177","7984","70403","EUR","Cash assistance payment","Multi-sector","Service delivery","0","0","0","0","0","0","Complete","Gap identified","Late","High","Review","Synthetic anonymised portfolio record","Cycle 4","185","0","0","Pending","Bogota Office","Mobile money","High"
"TXN-SYN-0048","2024-12-01","2024","Q4","December","P006","Syria Health Mission Support","Syria","Damascus","Damascus Mission Office","D001","ECHO","G-ECHO-P006-2024","BL006","WASH Infrastructure","Water point rehabilitation","74692","74692","49297","8963","74692","EUR","Health service support","Health","Support","1032","702","239","190","147","126","Partial","Complete","On time","Low","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Damascus Mission Office","N/A","Low"
"TXN-SYN-0049","2024-01-04","2024","Q1","January","P001","Ukraine Health+ Response","Ukraine","Kyiv","Kyiv Base","D002","BMZ","G-BMZ-P001-2024","BL007","Health Services","Primary health service support","76071","76832","51477","9988","79136","EUR","Health service support","Health","In-kind","1051","725","247","196","152","130","Missing","Complete","On time","High","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Kyiv Base","N/A","High"
"TXN-SYN-0050","2024-02-07","2024","Q1","February","P002","Ukraine Winter CVA","Ukraine","Lviv","Lviv Branch","D003","GFFO","G-GFFO-P002-2024","BL008","Logistics & Transport","Vehicle rental and fuel","77450","78999","53719","11060","83739","EUR","Cash assistance payment","CVA","Cash","1070","749","255","202","157","135","Complete","In progress","On time","Medium","Review","Synthetic anonymised portfolio record","Cycle 3","110","163","17930","Pending","Lviv Branch","Prepaid card","Medium"
"TXN-SYN-0051","2024-03-10","2024","Q1","March","P003","Poland Refugee CVA","Poland","Warsaw","Warsaw Branch","D004","UNICEF","G-UNIC-P003-2024","BL009","Training & Capacity Building","Branch and partner training","78829","81194","56024","12179","74699","USD","Cash assistance payment","CVA","Cash","1089","773","263","209","162","139","Complete","Gap identified","Late","High","Review","Synthetic anonymised portfolio record","Cycle 4","125","168","21000","Completed","Warsaw Branch","Mobile money","High"
"TXN-SYN-0052","2024-04-13","2024","Q2","April","P004","Sudan Food Security & WASH","Sudan","Port Sudan","Port Sudan Base","D005","USAID","G-USAI-P004-2024","BL010","Monitoring & Evaluation","PDM and field monitoring","80208","83416","58391","2502","68400","USD","WASH service delivery","WASH","Service delivery","1108","798","271","215","168","144","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Port Sudan Base","N/A","Low"
"TXN-SYN-0053","2024-05-16","2024","Q2","May","P005","Venezuela-Colombia Multi-Donor Response","Venezuela/Colombia","Bogota","Bogota Office","D006","AECID","G-AECI-P005-2024","BL011","Administration","Office running costs","81587","85666","60823","3427","72817","EUR","Programme operations","Multi-sector","Service delivery","0","0","0","0","0","0","Partial","Complete","On time","Low","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Bogota Office","N/A","Low"
"TXN-SYN-0054","2024-06-19","2024","Q2","June","P006","Syria Health Mission Support","Syria","Damascus","Damascus Mission Office","D007","EU Delegation","G-EUDE-P006-2024","BL012","Audit & Compliance","External audit and compliance checks","82966","80477","57943","4024","70819","EUR","Health service support","Health","Support","1146","848","288","229","178","153","Missing","In progress","On time","High","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Damascus Mission Office","N/A","High"
"TXN-SYN-0055","2024-07-22","2024","Q3","July","P001","Ukraine Health+ Response","Ukraine","Kyiv","Kyiv Base","D008","Red Cross Movement","G-REDC-P001-2024","BL014","Indirect Costs","Indirect cost recovery","84345","82658","60340","4959","75218","CHF","Health service support","Health","In-kind","1165","874","297","236","184","157","Complete","Gap identified","Late","High","Review","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Kyiv Base","N/A","High"
"TXN-SYN-0056","2024-08-01","2024","Q3","August","P002","Ukraine Winter CVA","Ukraine","Lviv","Lviv Branch","D009","Private Foundation","G-PRIV-P002-2024","BL001","Human Resources","National staff salaries","85724","84867","62802","5941","79776","USD","Cash assistance payment","CVA","Cash","1184","900","306","243","189","162","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","Cycle 1","80","196","15680","Pending","Lviv Branch","Prepaid card","Low"
"TXN-SYN-0057","2024-09-04","2024","Q3","September","P003","Poland Refugee CVA","Poland","Warsaw","Warsaw Branch","D010","Own Funds","G-OWNF-P003-2024","BL003","Programme Supplies","Medical and programme supplies","87103","87103","65327","6968","84489","EUR","Cash assistance payment","CVA","Cash","1203","926","315","250","194","167","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","Cycle 2","95","201","19095","Completed","Warsaw Branch","Mobile money","Low"
"TXN-SYN-0058","2024-10-07","2024","Q4","October","P004","Sudan Food Security & WASH","Sudan","Port Sudan","Port Sudan Base","D001","ECHO","G-ECHO-P004-2024","BL004","CVA Transfers","Unconditional cash transfers","88482","89367","67919","8043","89367","EUR","Cash assistance payment","WASH","Service delivery","1222","953","324","257","200","172","Partial","In progress","On time","Medium","Review","Synthetic anonymised portfolio record","Cycle 3","110","207","22770","In progress","Port Sudan Base","Prepaid card","Medium"
"TXN-SYN-0059","2024-11-10","2024","Q4","November","P005","Venezuela-Colombia Multi-Donor Response","Venezuela/Colombia","Bogota","Bogota Office","D002","BMZ","G-BMZ-P005-2024","BL005","CVA Transfers","Winter cash top-up","89861","91658","70577","9166","94408","EUR","Cash assistance payment","Multi-sector","Service delivery","0","0","0","0","0","0","Missing","Gap identified","Late","High","Review","Synthetic anonymised portfolio record","Cycle 4","125","0","0","Pending","Bogota Office","Mobile money","High"
"TXN-SYN-0060","2024-12-13","2024","Q4","December","P006","Syria Health Mission Support","Syria","Damascus","Damascus Mission Office","D003","GFFO","G-GFFO-P006-2024","BL006","WASH Infrastructure","Water point rehabilitation","9240","9517","7423","1047","10088","EUR","Health service support","Health","Support","1260","1008","343","272","212","181","Complete","Complete","On time","Low","Compliant","Synthetic anonymised portfolio record","N/A","0","0","0","N/A","Damascus Mission Office","N/A","Low"
